Materials Code,Description,Unit,Rate(Rs),mat_sl
110030141,P C C POLE : 8M LONG,NOS,5363.44,1
110030241,P C C POLE : 9M LONG,NOS,10198.28,2
110010341,STEEL TUBULAR POLE 9 M LONG (WITH CAP),NOS,11550.45,3
110011541,STEEL TUBULAR POLE 9.5M LONG (WITH CAP),NOS,16598.41,4
110010741,STEEL TUBULAR POLE 11 M LONG (WITH CAP),NOS,17887.87,5
110020711,RAIL POLE (11-13 M LONG) 52 KG,MT,93806.05,6
110051211,WIDE FLANGE BEAM: 13 M LONG WBP160X160X30.44 KG/M WITH GRADE E360,MT,65952.78,7
102010911,149.5 CHANNEL 100X5ONINI,MT,109813.95,8
102010611,M.S CHANNEL 75X40 MM,MT,110043.09,9
101011311,M S.ANGLE 65X65X6 MM,MT,108667.24,10
101011011,M.S ANGLE 50X50X6 MM,MT,109603.22,11
103011211,M.S FLAT 50X6 MM,MT,117623.30,12
103011511,M.S FLAT 65X6 MM,MT,117493.74,13
103011611,"M,S FLAT 65X8 MM",MT,114149.39,14
103011911,M.S FLAT 753{8 MM,MT,114255.68,15
103012311,M.S FLAT 75X12 MM,MT,114336.31,16
504130432,GI STAY SET HT(1830X20MM)WRKG LD7900ICG,NOS,795.83,17
504130332,Cl STAY SET LT(1680X16MM)WRKG LD5100KG,NOS,462.17,18
504110541,G 1 EARTH SPIKE 1833X20MM,NOS,367.98,19
503010711,G.I. WIRE 4 MM,MT,137360.98,20
503010811,G.I  WIRE 5 MM,MT,13686598.00,21
503050911,G.1. STAY WIRE 7 / 4 MM (8 SWG),MT,141692.18,22
503050711,6.1. STAY WERE 7/ 3.15KM (10 SWG),MT,142310.93,23
503050611,G.I. STAY WIRE 7/ 2.5MM (12 SWG),MT,145404.64,24
508020432,33KV PORCELAIN POST INSULATOR (STACK TYPE),NOS,1153.01,25
508011041,33 KV POLYMER COMPOSITE WITH FITTINGS PIN INSULATOR (10KN- 900MM CREEPAGE DISTANCE),NOS,678.15,26
508030641,33 KV POLYMER comPosit WITH FITTINGs 70KN DISC INSULATOR,NOS,326.70,27
508020341,11KV PORCELAIN POST INSULATOR,NOS,289.57,28
508011141,11 KV POLYMER COMPOSITE WITH FITTINGS PIN INSULATOR (5KN- 320MM CREEPAGE DISTANCE),NOS,243.79,29
508030541,11 KV POLYMER COMPOSITE 45KN DISC INSULATOR,NOS,183.15,30
504010132,COMPOSITE HARDWARE FITTINGS FOR ACSR WEASEL/ RABBIT (30 /50SQMM)C01NDUCTOR,SET,327.83,31
504010232,COMPOSITE HARDWARE FITTINGS SUITABLE FOR ACSR DOG1100SQMM)CONDUCTOR,SET,518.96,32
504010332,SINGLE TENSION HARDWARE FITTINGS FOR ACSR WOLF 1[150SQMM) CONDUCTOR,SET,1354.91,33
504010432,SINGLE SUSPENSION HARDWARE FITTINGS FOR ACSR WOLF (150SQMNI)CONDUCTOR,SET,647.62,34
504010532,SINGLE TENSION HARDWARE FITTINGS FOR PANTHER (200SQMM)CONDUCTOR,SET,1683.48,35
504010632,SINGLE SUSPENSION HARDWARE FITTINGS FOR PANTHER (200SQMM) CONDUCTOR,SET,730.12,36
309010541,LIGHTNING ARRESTER 42KV 10 KA PORCELAIN HOUSED GAPLESS TYPE FOR 33KV SYSTEM I,NOS,762827.00,37
309010841,LIGHTNING ARRESTER 12 KV 5KA PORCELAIN HOUSED GAPLESS TYPEFOR 11KV SYSTEM,NOS,524.23,38
309011041,LIGHTNING ARRESTER 12 KV 10KA PORCELAIN HOUSED STATION CLASS,NOS,2905.62,39
304010632,TPGO ISOLATOR : 11 KV :400 AMP.,SET,19138.97,40
304010532,TPGO ISOLATOR : 11 KV : 200 AMP.,SET,10384.98,41
304010332,33 KV 400 A TPGO ISOLATOR (ROCKI NG TYPE},SET,40318.52,42
304022332,33 KV 400 A CR TYPE ISOLATOR WITHOUT EARTH SWITCH (HIGH LEVEL),SET,41924.78,43
304020832,33 KV 400 A CR TYPE ISOLATOR WITHOUT EARTH SWITCH (LOW LEVEL),SET,41486.71,44
304021132,33 KV 400 A CR TYPE ISOLATOR WITH EARTH SWITCH (HIGH LEVEL),SET,55615.93,45
502010321,ACSR SQUIRM. (20 SQMM) CONDUCTOR,KM,25658.05,46
502010621,ACSR WEASEL (30SQMM) CONDUCTOR,KM,38139.33,47
502010921,ACSR RABBIT (50SQMM) CONDUCTOR,KM,62290.12,48
502011221,ACSR DOG (100SQMM) CONDUCTOR,KM,122653.45,49
502011521,ACSR WOLF (15051)MM) CONDUCTOR,KM,203337.56,50
502011821,COND ACSR PNTH 200SMNI,KM,271669.29,51
501012921,CABLE(PVC 1.1 KV GRADE) 2CX4SQMM,KM,43310.09,52
501013021,CABLE(PVC 1.1 KV GRADE) 2CX6SQMM,KM,44410.50,53
501017421,"CABLE{PVC 1,1 KV GRADE) 4CORE X1 OSQMM",KM,125852.36,54
501017821,CABLE(PVC 1.1 KV GRADE] 4CX25SQMM,KM,229429.95,55
501017921,CABLE(PVC 1.1 KV GRADE] 4CXSOSQMM,KM,248238.29,56
501018121,CABLE(PVC 1.1 KV GRADE) 4CX120SQMM,KM,481307.89,57
501018221,CABLE(PVC 1.1 KV GRADE) 4CX185SQMM,KM,781231.73,58
501018321,CABLE(PVC 1.1 KV GRADE] 4CX3005QMM,KM,1277593.58,59
501021121,CABLE(XLPE Li KV) 1CX630 SQMM,KM,855321.69,60
501022321,CABLE (XLPE 1.1 KV) 4 C X SOSQMM,KM,354938.27,61
501022421,CABLE (XLPE 1.1 KV ) 4 C X 120501M,KM,751027.94,62
501022521,CABLE (XLPE 1.1 KV ) 4 C X 1855QMM,KM,1168081.89,63
501022621,CABLE (XLPE 1.1 KV) 4 C X 300SQMM,KM,1777071.10,64
501023621,CABLE(XLPE 11 KV) 1CX1000SQMM,KM,1685372.90,65
501023821,CABLE(XLPE 11 KT) 3CX955QMM,KM,1046828.46,66
501023921,CABLE(XLPE 11 KV) 3CX1855QMM,KM,1229138.19,67
501024121,CABLE(XLPE 11 KV) 3CX300SQM1Y/,KM,1768380.17,68
501024221,CABLE( XLPE 11KV) 3 CX 400SQMM,KM,2179818.59,69
501025421,CABLE(XLPE 33 KV) 1X1000 SQMM,KM,2083227.79,70
501024921,CABLE(XLPE 33 KV) 3CX185SQMM,KM,2390241.81,71
501025221,CABLE(XLPE 33 KV) 3X400SQMM,KM,2950761.20,72
501030421,CABLE(LT AERIAL BUNCHED 1.1 KV) 3CX50-1CX16+1CX35SQMM,KM,237394.49,73
501030521,CABLE(LT AERIAL BUNCHED 1.1 KV) 3CX70+1CX16+1CX5OSQMM,KM,315558.99,74
501031121,CABLE(HT AERIAL BUNCHED 11 KV) 3CX95+1CX7OSQMM,KM,879877.46,75
501041121,CABLE( COPPER CONTROL 1.1 KV) 12 C X 2.55QMM,KM,420547.33,76
501041021,CABLE( COPPER CONTROL 1.1 ICU) 8 E X 2.55QMM,KM,281825.12,77
501040721,CABLE( COPPER CONTROL 1.1 KV) 4C X 2.5SOIM,KM,157705.25,78
301011041,DTR 16KVA 11/0.4331W,NOS,89547.19,79
301018141,DTR 25 KVA 11/0.433KV,NOS,103528.11,80
301018241,DTR 63 KVA 11/0.433KV,NOS,197568.41,81
301018341,DTR 100 KVA 11/0.433KV,NOS,248239.75,82
3010113741,DTR 160 KVA 11/0.433KV,NOS,318579.70,83
301019641,DTR 250 KVA 11/0.433KV -OUTDOOR TYPE,NOS,674147.87,84
301019041,DTR 315 KVA 11/0.43311V -INDOORTYPE,NOS,987447.23,85
301019141,DTR 315 KVA 11/0.433KV -OUTDOORTYPE,NOS,985286.54,86
301019341,DTR 630KVA 11/0.415K-ft-OUTDOOR & OIL COLLING TYPE,NOS,184384208.00,87
301019741,DTR 315KVA 11/0.415KV-OUTDOOR & DRY VPI TYPE,NOS,2454693.87,88
301019541,DTR 630KVA 11/0.415KV-OUTDOOR & DRY VPI TYPE,NOS,3505551.10,89
301019441,DTR 630KVA 11/0.415KV-INDOOR & DRY VPI TYPE,NOS,3505551.10,90
301021241,6.3 MVA 33/11KV POWER TRANSFORMER,NOS,11415656.07,91
301022041,RTCC PANEL FOR 6.3 MVA TRANSFORMAR,NOS,89074.27,92
301021741,10 MVA 33/11KV POWER TRANSFORMER,NOS,13287983.20,93
301022141,RTCC PANEL FOR 10 MVA TRANSFORMAR,NOS,8907427.00,94
301018541,100 KVA 33/0.415 KV STATION SERVICE TRANSFORMER,NOS,481555.90,95
908010252,TRANSFORMER OIL (EHV GRADE),NOS,127665.28,96
901031241,"30V 3SA AUTO & MANUAL, FLOAT-CUM-BOOST, THYRISTOR CONTROLLED BATTERY RGER.
CHARGER.",SET,113898.24,97
501021132,30V 100 AH PLANTE TYPE LEAD ACID BATTERY,SET,144142.40,98
901040332,STAND ERD ACCESSORIES OF 30V 100 AH PLANTE TYPE BATTERY BATTERY,SET,16330.86,99
301032241,33 KV PT: 1 PHASE OD TYPE :RATIO : 33 / V3 / 0.11 / V 3 KV,NOS,26649.27,100
301051641,33 KV CT (1 PHASE) : OD TYPE : DUAL CORE CT RATIO-400 - 200 / 1 -1 A,NOS,37849.26,101
301054741,33 KV CT (1 PHASE) : OD TYPE; DUAL CORE CT RATIO-200 - 100 / 1 -1 -LA,NOS,51838.30,102
301055641,33 KV CT (1 PHASE) : OD TYPE : DUAL CORE CT RATIO-100 - 50 / 1 -1A,NOS,54028.65,104
301061441,LT CURRENT TRANSFORMERRING TYPE RATIO-200/5 AMPS,NOS,547.59,105
301065141,"LT CURRENT TRANSFORMER, RING TYPE(TAPE WOUND), RATIO-400/5 AMPS, ACCURACY CLASS 0.55",NOS,452.68,106
301070541,"11 KV COMBINED CT & PT WITH CT RATIO 200-100/1A, PT 11000/110V",NOS,55747.50,107
301070741,"11 KV COMBINED CT & PT WITH CT RATIO 300-150/1A, PT 11000/110V",NOS,74402.57,108
301070641,"11 KV COMBINED CT & PT WITH CT RATIO 200-100/5A, PT 11000/110V",NOS,55747.50,109
301070841,"11 KV COMBINED CT ,& PT WITH CT RATIO 300-150/5A, PT 11000/110V",NOS,74402.57,110
302030341,"36 KV VCB : 750 MVA 1000/1250 AMPS :O/D- TYPE, 30V DC",NOS,297887.70,111
303071932,33KVIDVCBPNL INCOMER WITHOUT C&R PANEL,SET,1013067.85,112
303072032,33KVIDVCBPNL OUTGOING WITHOUT C&R PANEL,SET,1014236.04,113
303072132,33KVIDVCBPNL FOR POWER TRANSFORMER WITHOUT C&R PANEL,SET,1029860.54,114
303072232,33KVIDPNL FOR 8115 PT,SET,616760.40,115
303072332,33KVIDPNL FOR BUS COUPLER WITH BUS SECTION PANEL,SET,1306533.95,116
303072432,33KVIDPNL FOR STATION TRANSFORMER,SET,727300.10,117
303071232,33KVIDVCB9PNL(21+1 0-1-21R+2BPT-1-1BC+115L),SET,8367447.65,118
303071332,33KVIDVCB1OPNL(21+20+2TR+2BPT+1BC+11SL),SET,9407191.04,119
303071432,33KVIDVCB13PNL(31+10+3TR+3BPT+2BC+1ISL),SET,12449405.58,120
305015241,"33KV C&R PANEL, WITH DIFFERENTIAL RELAY SCADA COMPATIBLE FOR INDIVIDUAL TRANSFORMER",Nos,417159.59,121
305015141,"33KV C&R PANEL, WITH DIRECTIONAL RELAY, SCADA COMPATIBLE FOR FEEDER CONTROL",NOS,264156.29,122
303050441,"12 KV 350MVA,400A SERIES TRIP METERING SWG COMPLETE WITH CTR-100-50/5-5A, PTR 11000/110V",NOS,353271.40,123
303050341,"12 KV 350MVA,400A SERIES TRIP SWG COMPLETE WITH CTR-S0-25/5-5A, PTR 11000/110V",NOS,331927.23,124
303060432,"12 KV 350MVA RMU METERING SWG CT RATION 100-50/5-5A, PTR 11000/110V",SET,702372.45,125
303060332,"12 KV 35OMVA RMU METERING SWG CT RATION 50.25/5-5A, PTR 11000/110V",SET,716974.70,126
303030732,SCADA350MVA800/1250A-1N1BCOOG0 (ONE INCOMING PANEL ONLY),SET,538481.65,127
303030832,SCADA35LIMVA800/1250A-INO8C106 0 (ONE BUS COUPLER PANEL ALONG WITH ADOPTER,SET,400737.80,128
303030932,SCADA350MVA 800/12 50A-INOBCOOG1 (ONE OUTGOING PANEL ONLY),SET,480161.38,129
303031532,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/800A) 2 PNL(0+0+2),SET,960322.75,130
303037332,112 KV SCADA COMPATIBLE SHUNT TRIP SWITIHGEAR PANEL WITH VCB 2 PANEL (0+1+1),SET,880899.17,131
303037232,12 KV SCADA COMPATIBLE SHUNT TRIP SWITCHGEAR PANEL WITH VCR 2 PANEL (1+ 1+ 0 ),SET,939219.45,132
303041132,SWITCHGEAR(SHUNT TRIP] WITH VCB (12 KV 350MVA 1250/800A) 2 PNL(1+0+1),SET,1018643.03,133
303032432,"SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250)8004) 3 PNI,(0+0+3)",SET,1440484.14,134
303041432,SWITCHGEAR(SHIINT TRIP) WITH VCB (12 KV 35OMVA 1250/800A) 3 PNL(1+0+2),SET,14.99,135
303036832,SWITCHGEAR{SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/800A) 3 PNL(1+1+1),SET,1419380.83,136
303032732,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 3SOMVA 1250/800A) 4 PNL(1+0+3),SET,1978965.79,137
303037132,SWITCHGEAR(SHUNT TRIP] WITH VCB (12 KV 350MVA 1250/800A) 4 PNL 1+1+2,SET,1899542.21,138
303036732,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/800A) 5 PNL(2+1+2),SET,2438023.86,139
303036632,SWITCHGEAR(SHUNT TRIP) WITH VCB (12 KV 350MVA 1250/800A) 7 PNL(2+1+4),SET,339834663.00,140
